datetime,Compound,Aave,Morpho,Sky
2025-01-06,-593473.0416440003,516185.5084450004,1087375.0830300003,2555137.1259770007
2025-01-07,-764902.2109430004,621623.5730790003,1251873.6665470004,2555137.1259770007
2025-01-08,-1095836.2261890005,1026997.3896700004,1170098.4234910004,2555137.1259770007
2025-01-09,-1095836.2261890005,1026997.3896700004,1170098.4234910004,2555137.1259770007
2025-01-10,-1095836.2261890005,1026997.3896700004,1170098.4234910004,2555137.1259770007
2025-01-11,-1261260.2498040006,704820.0924530004,975237.1538370004,3123067.695188001
2025-01-12,-1261260.2498040006,1264044.4359620004,975237.1538370004,2563840.6431180006
2025-01-13,-1344195.3740540007,1481264.3787030005,823775.3679560004,2563840.6431180006
2025-01-14,-1344195.3740540007,1470389.2692610004,823775.3679560004,2563840.6431180006
2025-01-15,-1344195.3740540007,1470389.2692610004,823775.3679560004,2563840.6431180006
2025-01-16,-824402.5358830007,634702.9736570003,1235212.7572000003,2563840.6431180006
2025-01-17,-668415.3087850007,622008.0200500004,1136606.0839120003,2563840.6431180006
2025-01-18,-1047769.1230780007,567246.9149900004,1022139.4973030003,3112434.1767380005
2025-01-19,-574434.7773170008,155126.6548330004,965762.8564070003,3112434.1767380005
2025-01-20,-574434.7773170008,153234.4223850004,965762.8564070003,3112434.1767380005
2025-01-21,-574434.7773170008,129425.5536350004,965762.8564070003,3112434.1767380005
2025-01-22,-574434.7773170008,106454.5681140004,1065760.8515000003,3112434.1767380005
2025-01-23,-574434.7773170008,104131.6243740004,1065760.8515000003,3112434.1767380005
2025-01-24,-574434.7773170008,103758.1435020004,1064228.5830560003,3112434.1767380005
2025-01-25,-574434.7773170008,103758.1435020004,1064228.5830560003,3112434.1767380005
2025-01-26,-574434.7773170008,103758.1435020004,1064228.5830560003,3112434.1767380005
2025-01-27,-1001529.1045620008,770907.9884240004,912337.1740120003,3112434.1767380005
2025-01-28,-1002172.8497330009,770692.2224530005,912337.1740120003,3111464.6330700004
2025-01-29,-897535.6327550008,274617.15976500046,914223.2572090004,3111464.6330700004
2025-01-30,-811329.9914210008,234247.48233700046,1290370.0206300004,3111464.6330700004
2025-01-31,-614190.6831610008,234247.48233700046,1290370.0206300004,3111464.6330700004
2025-02-01,-614190.6831610008,78122.56623400046,1290370.0206300004,3111464.6330700004
2025-02-02,-614190.6831610008,78122.56623400046,1290370.0206300004,3111464.6330700004
2025-02-03,-1021998.7855100008,518587.95437200053,1217489.5163160004,2815250.6477030003
2025-02-04,-833456.5126110008,1192082.3229290005,1484465.6067970004,2815250.6477030003
2025-02-05,-932916.1897690007,1337875.4707000004,1399399.2384130005,2815250.6477030003
2025-02-06,-932916.1897690007,1329573.7763770004,1399399.2384130005,2815250.6477030003
2025-02-07,-1182255.6934530009,1481559.1725940004,1319487.5850450005,2990431.0149990004
2025-02-08,-1182255.6934530009,1448715.6646370003,1319487.5850450005,2996963.3615600006
2025-02-09,-1306853.381058001,1225451.7621680005,1482744.0061300006,2996963.3615600006
2025-02-10,704237.0126689991,516039.6817120004,1411536.0141080006,1283655.2375620005
2025-02-11,-645543.4297160008,-60666.2044789996,852727.9739350006,3560542.13083
2025-02-12,-645543.4297160008,-138675.1208309996,1839700.4777570006,3560542.13083
2025-02-13,-1100727.3856750007,-64253.1738329996,2617168.6612700005,3560542.13083
2025-02-14,-974517.5053190007,-64253.1738329996,3181834.3607060006,3560542.13083
2025-02-15,-974517.5053190007,-64253.1738329996,3236388.8786420007,3560542.13083
2025-02-16,-1006552.2171160007,-64253.1738329996,3236388.8786420007,3560542.13083
2025-02-17,811298.5759439993,-197737.0398649996,3602182.7627270008,1561661.7983310001
2025-02-18,626536.9271419992,-197737.0398649996,2839504.050938001,3088514.380671
2025-02-19,-1029572.9584840006,20578.846688000398,4171710.1579950014,3221179.259717
2025-02-20,-1005463.1962350006,-35809.1774679996,3218171.2362420014,3224119.7908110004
2025-02-21,-1431435.1552400007,-197773.0264149996,1799.6954540014267,-442322.7045359998
2025-02-22,-1431435.1552400007,-197773.0264149996,1799.6954540014267,-442322.7045359998
2025-02-23,1124823.5855779992,20505.649036000395,4351419.281358002,-442322.7045359998
2025-02-24,1124823.5855779992,20505.649036000395,4351419.281358002,-442322.7045359998
2025-02-25,1822325.9825229992,20505.649036000395,3478910.0891430015,-442322.7045359998
2025-02-26,1822325.9825229992,20505.649036000395,4327342.255582001,-442322.7045359998
2025-02-27,2181726.943812999,20505.649036000395,3964715.242898001,-442322.7045359998
2025-02-28,1977471.150097999,20505.649036000395,3964715.242898001,-442322.7045359998
2025-03-01,2036781.405965999,20505.649036000395,3964715.242898001,-442322.7045359998
2025-03-02,2036781.405965999,20505.649036000395,3964715.242898001,-442322.7045359998
2025-03-03,1976825.801810999,20505.649036000395,3964715.242898001,-442322.7045359998
2025-03-04,1959478.284537999,20505.649036000395,3964715.242898001,-442322.7045359998
2025-03-05,1929705.441614999,19678.926263000394,3964114.5992860007,-443255.4337509998
2025-03-06,1929705.441614999,19678.926263000394,3964114.5992860007,-443255.4337509998
2025-03-07,1927258.5331179989,19678.926263000394,3964114.5992860007,-443255.4337509998
2025-03-08,384615.5723449988,-89650.5691579996,2362956.2622750006,3042299.392118
2025-03-09,383755.61922899884,-89650.5691579996,2361055.8414400006,3042299.392118
2025-03-10,356368.66945499886,-89650.5691579996,2361055.8414400006,3056064.975269
2025-03-11,356368.66945499886,-89650.5691579996,2361055.8414400006,3056064.975269
2025-03-12,-247385.53587500117,-198968.1838669996,3251878.0460470007,1606991.416747
2025-03-13,-306195.22423900117,-198968.1838669996,2960909.075770001,3130602.613341
2025-03-14,-306195.22423900117,-198968.1838669996,2960909.075770001,3130602.613341
2025-03-15,-306195.22423900117,-198968.1838669996,2960909.075770001,3130602.613341
2025-03-16,-306195.22423900117,-198968.1838669996,2960909.075770001,3130602.613341
2025-03-17,-862104.4556960012,-198968.1838669996,3438600.324428001,3247183.4632389997
2025-03-18,-1279826.5200350012,-198968.1838669996,3199704.808853001,3903483.286839
2025-03-19,-1417718.3375110012,-198968.1838669996,3575111.036889001,3631211.276554
2025-03-20,-1417718.3375110012,-198968.1838669996,3676415.2068440006,3508039.028951
