datetime,USD,ETH
2025-01-29,52942377.39234263,17208.67369240094
2025-01-30,53595310.88837726,17208.67369240094
2025-01-31,55898065.447728425,17208.67369240094
2025-02-01,56726510.797710784,17208.67369240094
2025-02-02,53778981.875013046,17209.06119240094
2025-02-03,49264338.498502314,17209.06119240094
2025-02-04,49524474.19669077,17209.06119240094
2025-02-05,42968741.62570459,15679.842327651864
2025-02-06,43755417.89040171,15679.842327651864
2025-02-07,42126441.51496831,15679.842327651864
2025-02-08,41135293.35831687,15679.842327651864
2025-02-09,41325810.34203992,15679.842327651864
2025-02-10,41270959.88107956,15677.264307407944
2025-02-11,41707478.63162377,15677.753939789995
2025-02-12,40809716.66886401,15677.753939789995
2025-02-13,42926764.77529257,15688.057046807171
2025-02-14,41976675.44369604,15688.057046807171
2025-02-15,42826788.345024645,15718.157046807171
2025-02-16,42326189.45022285,15718.157046807171
2025-02-17,41808753.394856915,15718.157046807171
2025-02-18,43064781.78187383,15706.153394767454
2025-02-19,41927490.11431912,15706.153394767454
2025-02-20,42639094.08002646,15706.153394767454
2025-02-21,43060160.05839998,15706.253394767455
2025-02-22,41752673.074192956,15706.253394767455
2025-02-23,43417663.76899932,15706.253394767455
2025-02-24,44404474.71344796,15706.253394767455
2025-02-25,39314376.58937774,15706.253394767455
2025-02-26,39192056.78416961,15706.253394767455
2025-02-27,36530451.257605284,15706.253394767455
2025-02-28,36207986.2179034,15706.253394767455
2025-03-01,35106683.68946297,15706.253394767455
2025-03-02,34956546.99871,15797.253394767455
2025-03-03,39767030.04438453,15797.253394767455
2025-03-04,33827043.09213321,15746.695111458564
2025-03-05,34194986.053781815,15747.195111458564
2025-03-06,35300795.26633546,15749.551819954542
2025-03-07,34685564.56129755,15749.551819954542
2025-03-08,33716920.424408324,15750.051819954542
2025-03-09,34651206.12989312,15750.551819954542
2025-03-10,31719988.37976356,15724.250975310493
2025-03-11,29547803.324372742,15724.250975310493
2025-03-12,30211159.426812265,15724.250975310493
2025-03-13,30043620.91880198,15724.250975310493
2025-03-14,29290122.825669993,15723.750504905101
2025-03-15,30042954.03848419,15723.810329813141
2025-03-16,30500822.241304707,15723.810329813141
2025-03-17,29682848.47623326,15723.810329813141
2025-03-18,30334113.208879724,15723.810329813141
2025-03-19,30390924.092595782,15723.810329813141
2025-03-20,32528671.343564004,15785.034150882999
2025-03-21,31267814.23582078,15785.194150882999
2025-03-22,31010575.957239766,15785.244150882998
2025-03-23,31247599.960867293,15785.244150882998
2025-03-24,31587285.958303276,15785.379150882998
2025-03-25,32793003.093977906,15783.020846874904
2025-03-26,32648732.22419352,15783.020846874904
2025-03-27,31722033.863540694,15783.020846874904
2025-03-28,31618179.705647144,15783.020846874904
2025-03-29,29939086.2384049,15783.020846874904
2025-03-30,28873681.340193413,15784.225388741848
2025-03-31,28332915.863194972,15693.968541483298
2025-04-01,28629049.41747622,15693.968541483298
2025-04-02,30109610.973707397,15787.60987855994
2025-04-03,28243194.709023025,15727.695017074724
2025-04-04,28597422.81133836,15727.695017074724
2025-04-05,28537600.248970658,15727.695017074724
2025-04-06,28466118.690241165,15727.695017074724
2025-04-07,24765334.39457459,15727.695017074724
2025-04-08,24464428.38673059,15723.551705292823
2025-04-09,23135018.959307063,15723.551705292823
2025-04-10,26140926.110322073,15723.551705292823
2025-04-11,23961570.518453114,15723.551705292823
2025-04-12,24656599.71040338,15723.551705292823
2025-04-13,25878805.27133492,15723.551705292823
2025-04-14,25085712.03853296,15723.551705292823
2025-04-15,25498107.289135236,15724.593312330777
2025-04-16,24967858.731004067,15724.593312330777
2025-04-17,24808806.470979713,15724.593312330777
2025-04-18,24899523.191189587,15724.593312330777
2025-04-19,24988762.94913705,15724.593312330777
2025-04-20,25396008.437527988,15724.593312330777
2025-04-21,24935636.964876156,15727.698312330776
2025-04-22,24809603.59309078,15727.698312330776
2025-04-23,27676132.320056073,15727.698312330776
2025-04-24,28215016.57412593,15727.698312330776
2025-04-25,27821115.006154217,15723.540614846666
2025-04-26,28126330.281713087,15723.590614846666
2025-04-27,28637078.62114248,15723.690614846666
2025-04-28,28203455.614577852,15723.690614846666
2025-04-29,28227378.960196648,15686.217798865417
