tx_hash,block_number,timestamp,event_type,sender,owner,assets,shares,vault_address,log_index,datetime
0x8857d7781122118c4f8a9aa573689858c39cc88da41895d6192380430f5f0901,20073594,1718169311,deposit,0x87588d3fbcdff1bf84555f0a22056d94534a74a6,0x87588d3fbcdff1bf84555f0a22056d94534a74a6,376.732153,372.408716,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,77,2024-06-12 05:15:11
0x8679861021b63e4f92b6ef491561fcd2174c956560cc3224952dbe880d52993e,20095970,1718439743,deposit,0x90b8695edcdefafa678df6d819307573f7b1a18c,0x90b8695edcdefafa678df6d819307573f7b1a18c,8934.70523,8825.983143,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,108,2024-06-15 08:22:23
0xb5507086dee3bd15a66cfea5d5ab1445792ba118a716803f43b6eac84a43e11e,20088405,1718348315,deposit,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,9475.831036,9362.702108,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,208,2024-06-14 06:58:35
0x33e01aa95ad17acc2d86d249c256f63171372226743e22a789d53c7478ed5ce3,20021036,1717535195,deposit,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,1255.0,1242.625113,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,182,2024-06-04 21:06:35
0x522734766e18c31b39bd75e5fb3569a34e4fffc721e3d9c9d543413f296c4a29,20006019,1717354007,deposit,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,5095.0,5046.282115,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,336,2024-06-02 18:46:47
0x9fc02a717855b7694b4cafcd7360056b4590f51ac444294c93fa3ebcd7c01298,20029449,1717636583,deposit,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,83830.346741,82988.501249,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,250,2024-06-06 01:16:23
0x4c0741675b371ef52e70d64ae75861bbe216c394ce4ca8f85e168f187fe7d155,20069861,1718124287,deposit,0xf98a3ba92f63870b609145c1f9ea1807bcc347b3,0xf98a3ba92f63870b609145c1f9ea1807bcc347b3,1899.556615,1877.978772,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,303,2024-06-11 16:44:47
0x45c730be46c6e89be57e2bfd1ea7f653db90c2b944505840e77801504d719054,20067702,1718098235,deposit,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,3500.0,3460.481432,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,330,2024-06-11 09:30:35
0xff3404d5ff2898c4bec976328d0ca7aa6356194cbe74b695574e1f9d327fef04,20064693,1718061899,deposit,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,50000.0,49440.225388,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,266,2024-06-10 23:24:59
0xd82583cd7dc81385e02e7543bab3a43019568339fa0a9109015593ce57636f68,20091715,1718388203,deposit,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,9000.0,8891.629855,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,280,2024-06-14 18:03:23
